"n","p0_1","p0_05","p0_025","p0_01","p0_005"
1,3.07768,6.31375,12.7062,31.82052,63.65674
2,1.88562,2.91999,4.30265,6.96456,9.92484
3,1.63774,2.35336,3.18245,4.5407,5.84091
4,1.53321,2.13185,2.77645,3.74695,4.60409
5,1.47588,2.01505,2.57058,3.36493,4.03214
6,1.43976,1.94318,2.44691,3.14267,3.70743
7,1.41492,1.89458,2.36462,2.99795,3.49948
8,1.39682,1.85955,2.306,2.89646,3.35539
9,1.38303,1.83311,2.26216,2.82144,3.24984
10,1.37218,1.81246,2.22814,2.76377,3.16927
11,1.36343,1.79588,2.20099,2.71808,3.10581
12,1.35622,1.78229,2.17881,2.681,3.05454
13,1.35017,1.77093,2.16037,2.65031,3.01228
14,1.34503,1.76131,2.14479,2.62449,2.97684
15,1.34061,1.75305,2.13145,2.60248,2.94671
16,1.33676,1.74588,2.11991,2.58349,2.92078
17,1.33338,1.73961,2.10982,2.56693,2.89823
18,1.33039,1.73406,2.10092,2.55238,2.87844
19,1.32773,1.72913,2.09302,2.53948,2.86093
20,1.32534,1.72472,2.08596,2.52798,2.84534
21,1.32319,1.72074,2.07961,2.51765,2.83136
22,1.32124,1.71714,2.07387,2.50832,2.81876
23,1.31946,1.71387,2.06866,2.49987,2.80734
24,1.31784,1.71088,2.0639,2.49216,2.79694
25,1.31635,1.70814,2.05954,2.48511,2.78744
26,1.31497,1.70562,2.05553,2.47863,2.77871
27,1.3137,1.70329,2.05183,2.47266,2.77068
28,1.31253,1.70113,2.04841,2.46714,2.76326
29,1.31143,1.69913,2.04523,2.46202,2.75639
30,1.31042,1.69726,2.04227,2.45726,2.75
31,1.30946,1.69552,2.03951,2.45282,2.74404
32,1.30857,1.69389,2.03693,2.44868,2.73848
33,1.30774,1.69236,2.03452,2.44479,2.73328
34,1.30695,1.69092,2.03224,2.44115,2.72839
35,1.30621,1.68957,2.03011,2.43772,2.72381
36,1.30551,1.6883,2.02809,2.43449,2.71948
37,1.30485,1.68709,2.02619,2.43145,2.71541
38,1.30423,1.68595,2.02439,2.42857,2.71156
39,1.30364,1.68488,2.02269,2.42584,2.70791
40,1.30308,1.68385,2.02108,2.42326,2.70446
41,1.30308,1.68385,2.02108,2.42326,2.70446
42,1.30308,1.68385,2.02108,2.42326,2.70446
43,1.30308,1.68385,2.02108,2.42326,2.70446
44,1.30308,1.68385,2.02108,2.42326,2.70446
45,1.30308,1.68385,2.02108,2.42326,2.70446
46,1.30308,1.68385,2.02108,2.42326,2.70446
47,1.30308,1.68385,2.02108,2.42326,2.70446
48,1.30308,1.68385,2.02108,2.42326,2.70446
49,1.30308,1.68385,2.02108,2.42326,2.70446
50,1.29871,1.67591,2.00856,2.40327,2.67779
51,1.29871,1.67591,2.00856,2.40327,2.67779
52,1.29871,1.67591,2.00856,2.40327,2.67779
53,1.29871,1.67591,2.00856,2.40327,2.67779
54,1.29871,1.67591,2.00856,2.40327,2.67779
55,1.29871,1.67591,2.00856,2.40327,2.67779
56,1.29871,1.67591,2.00856,2.40327,2.67779
57,1.29871,1.67591,2.00856,2.40327,2.67779
58,1.29871,1.67591,2.00856,2.40327,2.67779
59,1.29871,1.67591,2.00856,2.40327,2.67779
60,1.29582,1.67065,2.0003,2.39012,2.66028
61,1.29582,1.67065,2.0003,2.39012,2.66028
62,1.29582,1.67065,2.0003,2.39012,2.66028
63,1.29582,1.67065,2.0003,2.39012,2.66028
64,1.29582,1.67065,2.0003,2.39012,2.66028
65,1.29582,1.67065,2.0003,2.39012,2.66028
66,1.29582,1.67065,2.0003,2.39012,2.66028
67,1.29582,1.67065,2.0003,2.39012,2.66028
68,1.29582,1.67065,2.0003,2.39012,2.66028
69,1.29582,1.67065,2.0003,2.39012,2.66028
70,1.29582,1.67065,2.0003,2.39012,2.66028
71,1.29582,1.67065,2.0003,2.39012,2.66028
72,1.29582,1.67065,2.0003,2.39012,2.66028
73,1.29582,1.67065,2.0003,2.39012,2.66028
74,1.29582,1.67065,2.0003,2.39012,2.66028
75,1.29582,1.67065,2.0003,2.39012,2.66028
76,1.29582,1.67065,2.0003,2.39012,2.66028
77,1.29582,1.67065,2.0003,2.39012,2.66028
78,1.29582,1.67065,2.0003,2.39012,2.66028
79,1.29582,1.67065,2.0003,2.39012,2.66028
80,1.29222,1.66412,1.99006,2.37387,2.63869
81,1.29222,1.66412,1.99006,2.37387,2.63869
82,1.29222,1.66412,1.99006,2.37387,2.63869
83,1.29222,1.66412,1.99006,2.37387,2.63869
84,1.29222,1.66412,1.99006,2.37387,2.63869
85,1.29222,1.66412,1.99006,2.37387,2.63869
86,1.29222,1.66412,1.99006,2.37387,2.63869
87,1.29222,1.66412,1.99006,2.37387,2.63869
88,1.29222,1.66412,1.99006,2.37387,2.63869
89,1.29222,1.66412,1.99006,2.37387,2.63869
90,1.29222,1.66412,1.99006,2.37387,2.63869
91,1.29222,1.66412,1.99006,2.37387,2.63869
92,1.29222,1.66412,1.99006,2.37387,2.63869
93,1.29222,1.66412,1.99006,2.37387,2.63869
94,1.29222,1.66412,1.99006,2.37387,2.63869
95,1.29222,1.66412,1.99006,2.37387,2.63869
96,1.29222,1.66412,1.99006,2.37387,2.63869
97,1.29222,1.66412,1.99006,2.37387,2.63869
98,1.29222,1.66412,1.99006,2.37387,2.63869
99,1.29222,1.66412,1.99006,2.37387,2.63869
100,1.29007,1.66023,1.98397,2.36422,2.62589
