"co_seq_territorio","sg_uf","co_municipio_ibge","co_macrorregional","no_macrorregional","co_cir","no_cir_padrao","no_municipio","co_regiao_brasil","co_uf_ibge","no_regiao_brasil","tp_territorio","nu_altitude","nu_latitude","nu_longitude","vl_area_km2","vl_idhm"
5630,DF,530010,,,,,Brasília,5,53,CENTRO-OESTE,distrito,,,,,
5629,DF,539940,5304,MACRORREGIAO DE SAUDE Nº 2,53006,REGIAO DE SAUDE CENTRAL,REGIAO ADMINISTRATIVA DA ASA SUL,5,53,CENTRO-OESTE,reg.adm.,,,,,
5628,DF,539939,5304,MACRORREGIAO DE SAUDE Nº 2,53006,REGIAO DE SAUDE CENTRAL,REGIAO ADMINISTRATIVA DA ASA NORTE,5,53,CENTRO-OESTE,reg.adm.,,,,,
5627,DF,539938,5303,MACRORREGIAO DE SAUDE Nº 1,53003,REGIAO DE SAUDE SUDOESTE,REGIAO ADMINISTRATIVA DA ARNIQUEIRAS,5,53,CENTRO-OESTE,reg.adm.,,,,,
5626,DF,539936,5305,MACRORREGIAO DE SAUDE Nº 3,53007,REGIAO DE SAUDE NORTE,REGIAO ADMINISTRATIVA DA FERCAL,5,53,CENTRO-OESTE,reg.adm.,,,,,
3461,PR,411727,4105,MACRORREGIONAL NORTE,41022,"22ª RS IVAIPORA",NOVA TEBAS,4,41,SUL,municipio,650,-24.437958,-51.945357,545.6900024414062,0.651
1421,MG,310450,3109,NOROESTE,31058,UNAI,ARINOS,3,31,SUDESTE,municipio,509,-15.918743,-46.104324,5279.419921875,0.656
4394,RS,432146,4311,NORTE,43019,REGIAO 19,TIO HUGO,4,43,SUL,municipio,0,-28.571229,-52.595507,114.23999786376953,0.742
4740,SE,280030,2801,MACRO UNICA,28001,ARACAJU,ARACAJU,2,28,NORDESTE,municipio,4,-10.909133,-37.06766,181.86000061035156,0.770
152,AM,130002,1302,OESTE,13008,TRIANGULO,ALVARAES,1,13,NORTE,municipio,75,-3.22727,-64.800654,5911.77001953125,0.527
627,BA,293230,2910,SUL (NBS - ILHEUS),29012,ITABUNA,UBATA,2,29,NORDESTE,municipio,109,-14.206336,-39.520696,268.239990234375,0.593
565,BA,292740,2915,LESTE - (NRS - SALVADOR),29020,SALVADOR,SALVADOR,2,29,NORDESTE,municipio,8,-12.97178,-38.501068,692.8200073242188,0.759
4448,SC,420050,4213,GRANDE OESTE,42002,OESTE,AGUAS DE CHAPECO,4,42,SUL,municipio,291,-27.075424,-52.980844,139.8300018310547,0.713
2267,MS,500480,5006,DOURADOS,50003,DOURADOS,JAPORA,5,50,CENTRO-OESTE,municipio,357,-23.890325,-54.405946,419.3999938964844,0.526
19,RJ,330000,,,,,Estado do Rio de Janeiro,3,33,SUDESTE,estado,,-22.90169,-43.20458,,
5623,DF,539933,5304,MACRORREGIAO DE SAUDE Nº 2,53005,REGIAO DE SAUDE CENTRO-SUL,REGIAO ADMINISTRATIVA DE SCIA (ESTRUTURAL),5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
14,PA,150000,,,,,Estado do Para,1,15,NORTE,estado,,-1.45356,-48.50271,,
5607,DF,539912,5305,MACRORREGIAO DE SAUDE Nº 3,53008,REGIAO DE SAUDE LESTE,REGIAO ADMINISTRATIVA DO PARANOA,5,53,CENTRO-OESTE,reg.adm.,1171,-15.77463,-47.92463,,
