capitulo,codigos,titulo
I,A00-B99,Algumas doenças infecciosas e parasitárias.
II,C00-D48,Neoplasmas (tumores).
III,D50-D89,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários.
IV,E00-E90,Doenças endócrinas; nutricionais e metabólicas.
V,F00-F99,Transtornos mentais e comportamentais.
VI,G00-G99,Doenças do sistema nervoso.
VII,H00-H59,Doenças do olho e anexos.
VIII,H60-H95,Doenças do ouvido e da apófise mastoide.
IX,I00-I99,Doenças do aparelho circulatório.
X,J00-J99,Doenças do aparelho respiratório.
XI,K00-K93,Doenças do aparelho digestivo.
XII,L00-L99,Doenças da pele e do tecido subcutâneo.
XIII,M00-M99,Doenças do sistema osteomuscular e do tecido conjuntivo.
XIV,N00-N99,Doenças do aparelho geniturinário.
XV,O00-O99,Gravidez; parto e puerpério.
XVI,P00-P96,Algumas afecções originadas no período perinatal.
XVII,Q00-Q99,Malformações congênitas; deformidades e anomalias cromossômicas.
XVIII,R00-R99,Sintomas; sinais e achados anormais de exames clínicos e de laboratório; não classificados em outra parte
XIX,S00-T98,Lesões; envenenamentos e algumas outras consequências de causas externas.
XX,V01-Y98,Causas externas de morbidade e de mortalidade.
XXI,Z00-Z99,Fatores que influenciam o estado de saúde e o contato com os serviços de saúde.
XXII,U00-U99,Códigos para propósitos especiais.
